,review,rating
0,"State Bank Of India is located nearby in our area so i open my saving account from that bank ,customer service was good, I got my bank statement on time the bank agent informed me every details required. It is very easy and convenience for money deposits.",4.0
1,"I have my salary account in SBI, when I applied for the card I got my statement on time. I am very much satisfied with the the account. Net banking is also functioning smooth and convenient for me. There are some offer in the cards which was good.",5.0
2,I am using Axis bank saving account for the  past 3years .Each transaction will be safe and always secure .I am using net banking as well mobile banking service it is used for money transfer and recharge only.There was no difficulties faced so far on using this saving account.,5.0
3,"I have my salary bank account in HDFC bank for many years, I got my bank statement on time.This bank is available in most of the areas so its very convenience for deposits and update of passbook. I have no issues with the customer support and its been good experience.",5.0
4,"Close to around 10 years, I am holding this Corporation Bank  savings account The most interesting part about this account I can easily transact and I can withdraw money from anywhere without any charges. ATM and their branches are near to my residence.",5.0
5,I am not getting an alert message from IDBI bank whenever I do a transaction from their end to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years and its a zero balance account.,5.0
6,"I am using savings account from SBI more than 4 years. If i don't keep any balance, they are deducting some amount so i am  keep on  maintaining the amount. I am doing all transactions and EMI transfer I am using this account only. Customer service was okay.",4.0
7,"Its been 2 years, i am using Kotak Bank savings account and its really super service, thats why still i have not contacted with the customer service . I went through online and i have mentioned my details to open this  account and its a zero balance account. They haven't charged a debit card fees,  onces i lost my debit card just 2 days i received.",5.0
8,"Since 2002, I am maintain my savings account from HDFC Bank. This is salary comes saving account, no need to maintain minimum balance. I am getting offer messages for loan offer and i never spoke to customer care. For cash withdrawal, shopping and all i use to get instant message.",5.0
9,"An executive has made to open an account with AXIS, so I have been using this account last 2 months before only. There is no ATM but it will not be charge for other ATM transaction. There is no much branches are avail in my city. So far I didn't faced any fraudulent issue.",5.0
10,I came to know that there is trial of 0% charge to open a saving account with KOTAK which is 811 app saving account. In which all the process was done through online. I maintain this account more than 2 years. No need to maintain a minimum balance. I have not done much transaction in this account.,5.0
11,"My mother has suggested SBI to open a saving account with them. Since she is govt employee, know all benefits and details. Hence I am having an account with them past 7 years. Need to maintain a minimum balance of 3K. ATM and branches are near. I use to get all details and update from bank.",5.0
12,I am using HDFC saving account for more than 5 years. When I joined my previous company they made me to open a salary account with this bank. Later I resigned that job so now converted to saving account. Need to maintain a minimum balance of 10K its kind high if not maintain an amount charges are final. I get calls from banker if they provide any offers  for other products.,5.0
13,"Indian Bank cash deposit machine is not convenient to use and i am using this saving account more than 10 years. The customer service is need to improve and I am keeping minimum balance of Rs. 500. Their net banking facility is okay, I went to the branch for the cash deposit and the response is okay.",3.0
14,"SBI has best Internet banking and its very fast and easy to access any one. I am using this savings account more than 10 years,  if i withdrawal cash more than 5 time no charges. Mostly i am not taking cash at ATM.  I am doing more transcation, so no need to maintain minimum balance and getting immediate response from customer service Bank employees attitude must be change.",4.0
15,"YES bank service is good, I have been holding saving  account for more than 4 years  but  past two years I am not using  this account , because I forget net banking details if I contact the customer care there is no response so stop using this account itself. ATM and branches services are good.  I use to get alert message on time.",4.0
16,I am holding a salary account with AXIS bank past  2.5 years. I got an immediate alert message on time. I am using mobile app and net banking both are user friendly to access. I need to pay 500 rupees around  for SMS charge and account service on yearly basis.,4.5
17,I am using saving account from SBI almost 7-8 years.  Minimum amount need to maintain of 1-5K on monthly basis.  I get only OTP number on time but once the amount debited or credited I wont get any message from their end. I am using  net banking and it is good to access.  There is some charge of 500 rupees on yearly need to pay.,4.0
18,"Since 14 years, I am using Oriental Bank savings account and this branch is located very far. ATM service is near and i am keeping minimum balance of Rs. 2500 customer service and this bank app is really good. Instantly I am getting messages from bank.",3.0
19,I have Hdfc bank salary account for the past 3 to 4 years . I am using mobile  banking service is used for all transactions and money transfer .If contact customer service for any query then wil be getting good response .I am satisfied with the overall banking service .,4.0
20,"I maintain salary cum saving account with SBI. On 2015, my company has suggested to opened an account. Need to maintain a minimum balance of 3K. There is no hidden charge. On quarter basis SMS charge is applicable of 12 - 15 rupees. ATM charges are applicable if I cross more than 5 times in a month of 40 rupees.",5.0
21,Standard Chartered Bank has a very good app and i am using this account more than 9 years. This is a salary comes savings account so need to maintain minimum balance and the customer service is very very good.  I am continuously getting offer messages from bank.,5.0
22,I maintain a saving account with INDUSIND for the past 1 year. I no need to maintain a minimum balance account. Since my friend is working as a executive and he has recommend to open an account with them. Hence I chosen it. I use this account for the transaction. I use to get offers message from their end.,4.0
